ID,Name,Category
27,Window 1 x 2 x 1,Window
31,Window 1 x 3 x 2 with Fixed Glass,Window
44,"Technic, Axle and Pin Connector Toggle Joint Smooth","Technic, Connector"
90,"Technic, Universal Joint 4L, End","Technic, Connector"
91,"Technic, Universal Joint 4L, Center","Technic, Connector"
200,Technic Rack Winder Axle,Technic
202,Technic Rack Winder,Technic
210,Baseplate 16 x 22,Baseplate
272,Cone 4 x 4 x 3,Cone
313,Hinge Plate 2 x X Pivot,Hinge
314,Hinge Plate 2 x 4 Top,Hinge
367,Baseplate 24 x 24 with Studs on Edges,Baseplate
374,Baseplate 16 x 32 with Rounded Corners,Baseplate
424,Technic Hub / Handle 1 x 1,Technic
445,Door 1 x 3 x 4 Left,Door
446,Door 1 x 3 x 4 Right,Door
453,Window 1 x 4 x 2 with Fixed Glass,Window
551,Windscreen 8 x 6 x 3 Wedge,Windscreen
600,Door 1 x 6 x 6 FreeStyle,Door
645,Window 1 x 6 x 2,Window
646,Window 1 x 6 x 2 with Shutters,Window
648,Baseplate 16 x 32 with Railway Station Stud Pattern,Baseplate
650,Hinge Coupling Nylon - Two Connected 2 x 2 Plates,Hinge
652,Hinge Brick 1 x 8 Male,Hinge
653,Hinge Brick 1 x 8 Female,Hinge
654,Hinge Brick 1 x 8 Joining Ring,Hinge
655,Hinge Brick 1 x 8,Hinge
671,Door 1 x 6 x 10,Door
700,Brick 10 x 20 (Undetermined Type),Brick
702,Brick 4 x 4 Corner,Brick
710,"Vehicle, Base 6 x 17 with Hole","Vehicle, Base"
712,"Plate, Round Curved 4 x 8 Left","Plate, Round"
713,"Plate, Round Curved 4 x 8 Right","Plate, Round"
728,Plate 8 x 11,Plate
729,"Container, Box 8 x 11 x 3 Top (Clear)",Container
733,"Brick 10 x 10 without Bottom Tubes, without Cross Supports",Brick
741,"Technic, Gear Samsonite 14 Tooth","Technic, Gear"
742,"Technic, Gear Samsonite 21 Tooth","Technic, Gear"
743,"Technic, Gear Samsonite 35 Tooth","Technic, Gear"
744,"Technic, Gear Samsonite 42 Tooth","Technic, Gear"
768,"Technic, Gearbox 2 x 4 x 3","Technic, Gear"
772,Brick 1 x 2 x 2 without Inside Axle Holder or Stud Holder,Brick
780,"Vehicle, Base 6 x 7","Vehicle, Base"
781,"Vehicle, Base 6 x 12","Vehicle, Base"
784,"Vehicle, Digger Bucket Smooth 2 x 4 x 1",Vehicle
785,Baseplate 24 x 32 with Studs on Edges,Baseplate
799,"Vehicle, Steering Gear Axle",Vehicle
800,"Brick, Modified 2 x 4 with Wheels Holder for Car Steering Gear Axle","Brick, Modified"
803,"Vehicle, Base 4 x 12 for Steering Gear","Vehicle, Base"
804,"Vehicle, Base 4 x 14 for Steering Gear","Vehicle, Base"
805,"Vehicle, Base 4 x 16 for Steering Gear","Vehicle, Base"
806,"Vehicle, Base 6 x 17 for Steering Gear","Vehicle, Base"
809,Baseplate 24 x 40 with Gravel Quarry Sets 360 / 580 Dots Pattern,Baseplate
811,Baseplate 16 x 32 with Warehouse Set 341 Stud Pattern,Baseplate
817,"Vehicle, Trailer Base 4 x 8 Bed","Vehicle, Base"
818,"Vehicle, Tipper Bucket 2 x 4",Vehicle
825,Door 1 x 3 x 4 Left with Window,Door
826,Door 1 x 3 x 4 Right with Window,Door
827,"Vehicle, Tractor Chassis",Vehicle
828,"Vehicle, Digger Bucket Arm, Large",Vehicle
850,Ladder 10.4cm (collapsed) 2-Piece / 3-Piece - Bottom Section with 12 Rungs and 2 Stops,Ladder
852,Ladder 10.4cm (collapsed) 3-Piece - Top Section with 12 Rungs and 2 Stops,Ladder
870,"Vehicle, Tractor Chassis Base 11 x 2 x 3",Vehicle
871,"Vehicle, Tractor Chassis Steering Arm",Vehicle
872,"Vehicle, Tractor Chassis Center Steering Link",Vehicle
873,"Vehicle, Tractor Chassis End Steering Link",Vehicle
874,"Vehicle, Tractor Chassis Steering Wheel",Vehicle
901,Baseplate 16 x 30 with Set 080 Yellow House Stud Pattern,Baseplate
902,Baseplate 16 x 24 with Set 080 Small White House Stud Pattern,Baseplate
903,Baseplate 16 x 24 with Set 080 Red House Stud Pattern,Baseplate
904,Baseplate 16 x 24 with Set 080 Large White House Stud Pattern,Baseplate
912,Baseplate 16 x 16 with Control Tower Set 340 Stud Pattern,Baseplate
915,Baseplate 24 x 32 with Three Driveways,Baseplate
962,Slope 45 2 x 2 Double Convex / Double Concave,Slope
966,"Vehicle, Trailer Base 4 x 16 x 1, Platform","Vehicle, Base"
968,"Vehicle, Trailer Base 4 x 14 x 1","Vehicle, Base"
969,"Vehicle, Trailer Stand",Vehicle
1566,"Plant Stem / Stalk with Bar, Bar Holder, and Hollow Stud",Plant
