element_id,name,primary_category,secondary_category,tertiary_category
3005,1x1 Brick,Basic,Brick,1x1
3004,1x2 Brick,Basic,Brick,1x2
3622,1x3 Brick,Basic,Brick,1x
3010,1x4 Brick,Basic,Brick,1x
3009,1x6 Brick,Basic,Brick,1x
3008,1x8 Brick,Basic,Brick,1x
6111,1x10 Brick,Basic,Brick,1x
6112,1x12 Brick,Basic,Brick,1x
2465,1x16 Brick,Basic,Brick,1x
2357,2x2 Corner Brick,Basic,Brick,2x2
3003,2x2 Brick,Basic,Brick,2x2
3002,2x3 Brick,Basic,Brick,2x
3001,2x4 Brick,Basic,Brick,2x
2456,2x6 Brick,Basic,Brick,2x
3007,2x8 Brick,Basic,Brick,2x
3006,2x10 Brick,Basic,Brick,2x
14716,1x1x3 Brick,Basic,Brick,Tall
2453,1x1x5 Brick,Basic,Brick,Tall
43888,1x1x6 Round Brick,Basic,Brick,Tall
3245,1x2x2 Brick,Basic,Brick,Tall
22886,1x2x3 Brick,Basic,Brick,Tall
49311,1x4x3 Brick,Basic,Brick,Tall
2454,1x2x5 Brick,Basic,Brick,Tall
30145,2x2x3 Brick,Basic,Brick,Tall
30144,2x4x3 Brick,Basic,Brick,Tall
86996,1x1⅔ Brick (Shorty),Basic,Brick,1x1
3065,1x2 w/out Bottom Tube,Basic,Brick,1x2
3066,1x4 w/out Bottom Tubes,Basic,Brick,1x
46212,1x2x5 w/out Support,Basic,Brick,Tall
3024,1x1 Plate,Basic,Plate,1x1
3023,1x2 Plate,Basic,Plate,1x2
3623,1x3 Plate,Basic,Plate,1x
3710,1x4 Plate,Basic,Plate,1x
78329,1x5 Plate,Basic,Plate,1x
3666,1x6 Plate,Basic,Plate,1x
3460,1x8 Plate,Basic,Plate,1x
4477,1x10 Plate,Basic,Plate,1x
60479,1x12 Plate,Basic,Plate,1x
3022,2x2 Plate,Basic,Plate,2x
3021,2x3 Plate,Basic,Plate,2x
3020,2x4 Plate,Basic,Plate,2x
3795,2x6 Plate,Basic,Plate,2x
3034,2x8 Plate,Basic,Plate,2x
3832,2x10 Plate,Basic,Plate,2x
2445,2x12 Plate,Basic,Plate,2x
91988,2x14 Plate,Basic,Plate,2x
4282,2x16 Plate,Basic,Plate,2x
11212,3x3 Plate,Basic,Plate,3x
3031,4x4 Plate,Basic,Plate,4x
3032,4x6 Plate,Basic,Plate,4x
3035,4x8 Plate,Basic,Plate,4x
3030,4x10 Plate,Basic,Plate,4x
3029,4x12 Plate,Basic,Plate,4x
3958,6x6 Plate,Basic,Plate,6x
3036,6x8 Plate,Basic,Plate,6x
3033,6x10 Plate,Basic,Plate,6x
3028,6x12 Plate,Basic,Plate,6x
3456,6x14 Plate,Basic,Plate,6x
3027,6x16 Plate,Basic,Plate,6x
41539,8x8 Plate,Basic,Plate,8x
92438,8x16 Plate,Basic,Plate,8x
91405,16x16 Plate,Basic,Plate,8x
2420,2x2 Corner Plate,Basic,Plate,Corner
77844,3x3 Corner Plate,Basic,Plate,Corner
15397,3x3 Cross Plate,Basic,Plate,Corner
73831,2x3 Plate w/ Cutout,Basic,Plate,Corner
2639,4x4 Corner Plate,Basic,Plate,Corner
64799,4x4 w/ 2x2 cutout,Basic,Plate,Corner
92593,1x4 w/ 2 studs,Basic,Plate,Edges
41740,1x4 w/ Groove,Basic,Plate,Edges
33909,2x2 w/ studs edge,Basic,Plate,Edges
6179,4x4 w/ studs edge,Basic,Plate,Edges
6180,4x6 w/ studs edges,Basic,Plate,Edges
6178,6x12 w/ studs edges,Basic,Plate,Edges
6205,6x16 w/ studs edges,Basic,Plate,Edges
88646,3x4 w/ studs center,Basic,Plate,Edges
4151,8x8 w/ Grille,Basic,Plate,Edges
3867,16x16 Baseplate,Basic,Plate,Baseplate
3811,32x32 Baseplate,Basic,Plate,Baseplate
2628,8x8x⅔ w/ Studs,Basic,Plate,Baseplate
2629,8x16x⅔ w/ Studs,Basic,Plate,Baseplate
15624,8x8x⅔ w/ Studs,Basic,Plate,Baseplate
