element_id,name,first_seen,last_seen,encounter_count
36036pb016,"Lower Body, Skirt with Dark Turquoise and Red Stripes, Rectangles and Circles Pattern",2025-10-21 11:47:47,2025-10-21 11:47:47,1
2584c001,String Reel 2 x 2 Holder with Black Drum (2584 / 2585),2025-10-21 15:25:50,2025-10-21 15:25:50,1
4213,Hinge Vehicle Roof 4 x 4,2025-10-21 15:26:17,2025-10-21 15:26:17,1
4744px12,"Slope, Curved 4 x 2 x 2 Double with 4 Studs with Pockets, Zipper, White Collar, and Yellow Neck Pattern",2025-10-21 15:27:09,2025-10-21 15:27:09,1
44301a,Hinge Plate 1 x 2 Locking with 1 Finger on End with Bottom Groove,2025-10-21 15:30:55,2025-10-21 15:30:55,1
15070,"Plate, Modified 1 x 1 with Tooth Vertical",2025-10-21 15:34:29,2025-10-21 15:34:29,1
4347pb07,Window 1 x 4 x 5 with Fixed Glass and 5 White Stripes Pattern (Sticker) - Sets 6380 / 6386 / 6392 / 6393,2025-10-21 15:42:19,2025-10-21 15:42:19,1
3245c,Brick 1 x 2 x 2 with Inside Stud Holder,2025-10-22 15:21:27,2025-10-22 15:21:27,1
4591,"Brick, Round 2 x 2 x 2 with Fins",2025-10-22 15:22:27,2025-10-22 15:22:27,1
6157,"Plate, Modified 2 x 2 with Wheels Holder Wide and Hole",2025-10-22 15:23:00,2025-10-22 15:23:00,1
92842,Propeller 3 Blade 5 Diameter,2025-10-22 15:26:19,2025-10-22 15:26:19,1
36451a,Rock Faceted with Small Pin (Infinity Stone),2025-10-22 15:28:24,2025-10-22 15:28:24,1
4504,Hinge Plate 1 x 6 with 2 and 3 Fingers On Ends,2025-10-22 15:30:03,2025-10-22 15:30:09,2
4085c,"Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)",2025-10-22 15:30:30,2025-10-22 15:30:30,1
800,"Brick, Modified 2 x 4 with Wheels Holder for Car Steering Gear Axle",2025-10-22 15:31:34,2025-10-22 15:31:34,1
6061,"Brick, Modified 2 x 4 x 2 with Holes on Sides",2025-10-22 15:39:12,2025-10-22 15:39:12,1
52031,Wedge 4 x 6 x 2/3 Triple Curved,2025-10-22 15:43:18,2025-10-22 15:43:18,1
57565,Bionicle Weapon Barraki Mantax Pincer,2025-10-22 15:44:02,2025-10-22 15:44:47,2
4531,Hinge Tile 1 x 2 1/2 with 2 Fingers on Top,2025-10-22 15:46:27,2025-10-22 15:46:27,1
4770,"Electric, Light Bulb Cover (Colored Globe)",2025-10-22 15:46:47,2025-10-22 15:46:47,1
50663pb02,Tornado of Spinjitzu Narrow with Molded Trans-Light Blue Top Pattern,2025-10-23 15:26:51,2025-10-23 15:26:51,1
3829c01,"Vehicle, Steering Stand 1 x 2 with Black Steering Wheel",2025-10-23 15:27:44,2025-10-23 15:27:44,1
21987,"Large Figure Weapon, Lightsaber Blade 15L with Axle Hole",2025-10-23 15:30:26,2025-10-23 15:30:26,1
15301c01,"Projectile Launcher, 1 x 4 Spring Shooter with Light Bluish Gray Top",2025-10-23 15:34:07,2025-10-23 15:34:07,1
